"Filename","CapacityGB"
"[unitrends-vms] Unitrends Enterprise Backup VM Replication/Unitrends Enterprise Backup VM Replication.vmdk","100"
"[unitrends-vms] Unitrends Enterprise Backup VM Replication/Unitrends Enterprise Backup VM Replication_1.vmdk","2048"
"[unitrends-vms] Unitrends Enterprise Backup VM Replication/Unitrends Enterprise Backup VM Replication_2.vmdk","2048"
"[unitrends-vms] Unitrends Enterprise Backup VM Replication/Unitrends Enterprise Backup VM Replication_3.vmdk","2048"
"[unitrends-vms] Unitrends Enterprise Backup VM Replication/Unitrends Enterprise Backup VM Replication_4.vmdk","2048"
"[unitrends-lisle] Unitrends Enterprise Backup/Unitrends Enterprise Backup_10.vmdk","200"
"[unitrends-lisle] Unitrends Enterprise Backup/Unitrends Enterprise Backup_1.vmdk","256"
"[unitrends-lisle] Unitrends Enterprise Backup/Unitrends Enterprise Backup_2.vmdk","256"
"[unitrends-lisle] Unitrends Enterprise Backup/Unitrends Enterprise Backup_3.vmdk","256"
"[unitrends-lisle] Unitrends Enterprise Backup/Unitrends Enterprise Backup_4.vmdk","256"
"[unitrends-lisle] Unitrends Enterprise Backup/Unitrends Enterprise Backup_5.vmdk","1024"
"[unitrends-lisle] Unitrends Enterprise Backup/Unitrends Enterprise Backup_6.vmdk","1024"
"[unitrends-lisle] Unitrends Enterprise Backup/Unitrends Enterprise Backup_7.vmdk","1024"
"[unitrends-lisle] Unitrends Enterprise Backup/Unitrends Enterprise Backup_8.vmdk","1024"
"[unitrends-lisle] Unitrends Enterprise Backup/Unitrends Enterprise Backup_9.vmdk","1024"
"[unitrends-2] Unitrends Enterprise Backup - vms replica/Unitrends Enterprise Backup - vms replica.vmdk","100"
"[unitrends-2] Unitrends Enterprise Backup - vms replica/Unitrends Enterprise Backup - vms replica_1.vmdk","4096"
"[esxvol1] Sensu/Sensu.vmdk","40"
"[esxvol2] cubeport/cubeport.vmdk","60"
"[mailvol1] USNYC0L0516/USNYC0L0516.vmdk","465.763671875"
"[mailvol1] SF3-1/SF3-1.vmdk","60"
"[esxvol1] test box/test box.vmdk","60"
"[esxvol1] Worldox2003/Worldox2003.vmdk","24"
"[esxvol1] Worldox2003/Worldox2003_1.vmdk","20"
"[esxvol2] usnyc0vas26/usnyc0vas26.vmdk","60"
"[esxvol2] solarwinds/solarwinds.vmdk","40"
"[esxvol2] solarwinds/solarwinds_1.vmdk","80"
"[esxvol1] USNYC0VAS10/USNYC0VAS10.vmdk","60"
"[esxvol2] USNYC0VAS09/USNYC0VAS09.vmdk","80"
"[esxvol1] USNYC0VAS03/USNYC0VAS03.vmdk","24"
"[esxvol2] Admin Console/Admin Console.vmdk","32"
"[esxvol2] usnyc0pdb02/usnyc0pdb02.vmdk","60"
"[esxvol2] usnyc0pdb02/usnyc0pdb02_1.vmdk","200"
"[esxvol2] usnyc0pdb02/usnyc0pdb02_2.vmdk","100"
"[esxvol2] usnyc0pdb02/usnyc0pdb02_3.vmdk","100"
"[esxvol2] usnyc0pdb02/usnyc0pdb02_4.vmdk","200"
"[esxvol2] usnyc0pas32/usnyc0pas32.vmdk","120"
"[esxvol1] Sophos/Sophos.vmdk","85"
"[esxvol1] SF3/SF3.vmdk","60"
"[esxvol1] USNYC0PAS33/USNYC0PAS33.vmdk","40"
"[esxvol1] USNYC0PAS33/USNYC0PAS33_1.vmdk","160"
"[esxvol2] USNYC0PAS34/USNYC0PAS34.vmdk","40"
"[esxvol2] usnyc0pas15/usnyc0pas15.vmdk","115"
"[esxvol2] usnyc0pas15/usnyc0pas15_1.vmdk","40"
"[esxvol1] usnyc0pas31/usnyc0pas31.vmdk","40"
"[esxvol1] USNYC0PAS37/USNYC0PAS37.vmdk","80"
"[esxvol2] XD764Temp/XD764Temp-000004.vmdk","32"
"[esxvol1] CSLD_w32_v95/CSLD_w32_v95-000001.vmdk","30"
"[esxvol1] CSLD_w32_v95/CSLD_w32_v95_1-000001.vmdk","30"
"[esxvol1] CSLD_w32_v95/CSLD_w32_v95_2-000001.vmdk","20"
"[esxvol2] XenDesktop Master Image 2014/XenDesktop Master Image 2014-000003.vmdk","60"
"[esxvol2] USNYC0PAS35/USNYC0PAS35-000001.vmdk","40"
"[esxvol2] DXi V4000/DXi V4000.vmdk","256"
"[esxvol2] DXi V4000/DXi V4000_1.vmdk","256"
"[Quantum] DXi V4000/DXi V4000_2.vmdk","2047.99999904632568359375"
"[Quantum] DXi V4000/DXi V4000_3.vmdk","2047.99999904632568359375"
"[Quantum] DXi V4000/DXi V4000_4.vmdk","2047.99999904632568359375"
"[Quantum] DXi V4000/DXi V4000_5.vmdk","2047.99999904632568359375"
"[Quantum] DXi V4000/DXi V4000_6.vmdk","2047.99999904632568359375"
"[Quantum] DXi V4000/DXi V4000_7.vmdk","2047.99999904632568359375"
"[Quantum] DXi V4000/DXi V4000_8.vmdk","2047.99999904632568359375"
"[Quantum] DXi V4000/DXi V4000_9.vmdk","2047.99999904632568359375"
"[Quantum] DXi V4000/DXi V4000_10.vmdk","2047.99999904632568359375"
"[Quantum] DXi V4000/DXi V4000_11.vmdk","2047.99999904632568359375"
"[Quantum] DXi V4000/DXi V4000_12.vmdk","2047.99999904632568359375"
"[Quantum] DXi V4000/DXi V4000_13.vmdk","2047.99999904632568359375"
"[Quantum] PHDVBA-Nexsan/PHDVBA-Nexsan.vmdk","8"
"[PHDvol1] PHDVBA_Nexsan/PHDVBA_Nexsan.vmdk","2048"
"[PHDvol1] PHDVBA_Nexsan/PHDVBA-Nexsan_1.vmdk","2048"
"[esxvol2] Nielsen Nitro/Nielsen Nitro.vmdk","22"
"[esxvol2] Nielsen Nitro/Nielsen Nitro_3-000002.vmdk","10"
"[esxvol2] vSphere Management Assistant (vMA)/vSphere Management Assistant (vMA).vmdk","3"
"[esxvol2] XenDesktop XenApp 6 Server/XenDesktop XenApp 6 Server_1.vmdk","30"
"[esxvol2] XenDesktop XenApp 6 Server/XenDesktop XenApp 6 Server.vmdk","30"
"[esxvol2] usnyc0vas24/usnyc0vas24_2.vmdk","60"
"[esxvol2] usnyc0vas24/usnyc0vas24_1.vmdk","0.015625"
"[esxvol2] usnyc0vas24/usnyc0vas24_3.vmdk","30"
"[esxvol2] usnyc0vas27/usnyc0vas27.vmdk","60"
"[esxvol2] usnyc0pas29_clone/usnyc0pas29_clone-000002.vmdk","50"
"[esxvol2] usnyc0pas29_clone/usnyc0pas29_clone_1-000002.vmdk","40"
"[esxvol2] VMware vCenter Support Assistant Appliance/VMware vCenter Support Assistant Appliance.vmdk","4"
"[esxvol2] VMware vCenter Support Assistant Appliance/VMware vCenter Support Assistant Appliance_1.vmdk","250"
"[esxvol2] usnyc0pas27/usnyc0pas27.vmdk","45"
"[esxvol2] VMware vCenter Appliance/VMware vCenter Appliance.vmdk","12"
"[esxvol2] VMware vCenter Appliance/VMware vCenter Appliance_1.vmdk","1.2724609375"
"[esxvol2] VMware vCenter Appliance/VMware vCenter Appliance_2.vmdk","25"
"[esxvol2] VMware vCenter Appliance/VMware vCenter Appliance_3.vmdk","25"
"[esxvol2] VMware vCenter Appliance/VMware vCenter Appliance_4.vmdk","10"
"[esxvol2] VMware vCenter Appliance/VMware vCenter Appliance_5.vmdk","10"
"[esxvol2] VMware vCenter Appliance/VMware vCenter Appliance_6.vmdk","5"
"[esxvol2] VMware vCenter Appliance/VMware vCenter Appliance_7.vmdk","10"
"[esxvol2] VMware vCenter Appliance/VMware vCenter Appliance_8.vmdk","1"
"[esxvol2] VMware vCenter Appliance/VMware vCenter Appliance_9.vmdk","10"
"[esxvol2] VMware vCenter Appliance/VMware vCenter Appliance_10.vmdk","5"
"[esxvol2] PHDVBA-S3/PHDVBA-S3.vmdk","8"
"[esxvol2] PHDVBA-S3/PHDVBA-S3_1.vmdk","25"
"[esxvol2] USNYC0PDC01/USNYC0PDC01.vmdk","18"
"[esxvol2] Unitrends Enterprise Backup/Unitrends Enterprise Backup.vmdk","200"
"[unitrends] Unitrends Enterprise Backup/Unitrends Enterprise Backup.vmdk","2048"
"[unitrends] Unitrends Enterprise Backup/Unitrends Enterprise Backup_1.vmdk","2048"
"[unitrends] Unitrends Enterprise Backup/Unitrends Enterprise Backup_2.vmdk","2048"
"[unitrends] Unitrends Enterprise Backup/Unitrends Enterprise Backup_3.vmdk","2048"
"[unitrends] Unitrends Enterprise Backup/Unitrends Enterprise Backup (2).vmdk","2048"
"[unitrends] Unitrends Enterprise Backup/Unitrends Enterprise Backup (2)_1.vmdk","2048"
"[PHDvol1] Unitrends Enterprise Backup (2)/Unitrends Enterprise Backup (2).vmdk","2048"
"[esxvol2] Unitrends Enterprise Backup/Unitrends Enterprise Backup (2).vmdk","2048"
"[esxvol2] usnyc0pas29/usnyc0pas29.vmdk","50"
"[esxvol2] usnyc0pas29/usnyc0pas29_1.vmdk","40"
"[esxvol2] usnyc0pdc02_1/usnyc0pdc02.vmdk","80"
"[esxvol2] Citrix Merchandising Server 2.2/Citrix Merchandising Server 2.2.vmdk","20"
"[esxvol2] APR2003/APR2003.vmdk","40"
"[esxvol2] APR2003/APR2003_1.vmdk","25"
"[esxvol2] usnyc0pTs01.groupe.remy.cointreau/usnyc0pTs01.groupe.remy.cointreau.vmdk","32"
"[esxvol2] usnyc0pTs01.groupe.remy.cointreau/usnyc0pTs01.groupe.remy.cointreau_1.vmdk","19.990234375"
"[esxvol2] QuickR/QuickR.vmdk","12"
"[esxvol2] QuickR/QuickR_1.vmdk","12"
"[esxvol2] usnyc0vas23/usnyc0vas23_2.vmdk","0.01953125"
"[esxvol2] usnyc0vas23/usnyc0vas23_1.vmdk","30"
"[esxvol2] usnyc0vas23/usnyc0vas23_3.vmdk","60"
"[esxvol2] PHDVBA6Cluster/PHDVBA6Cluster.vmdk","8"
"[esxvol2] usnyc0pmx02/usnyc0pmx02.vmdk","50"
"[esxvol2] usnyc0pmx02/usnyc0pmx02_5.vmdk","50"
"[esxvol2] usnyc0pmx02/usnyc0pmx02_3.vmdk","30"
"[esxvol2] usnyc0pmx02/usnyc0pmx02_4.vmdk","494"
"[esxvol2] IT File Server (SLES11 - GROUPE)/IT File Server (SLES11 - GROUPE)_3.vmdk","0.5"
"[esxvol2] IT File Server (SLES11 - GROUPE)/IT File Server (SLES11 - GROUPE)_4.vmdk","12"
"[esxvol2] IT File Server (SLES11 - GROUPE)/IT File Server (SLES11 - GROUPE)_2.vmdk","105"
"[esxvol2] CM_RM_64_Prod/CM_RM_64_Prod_14.vmdk","0.1000003814697265625"
"[esxvol2] CM_RM_64_Prod/CM_RM_64_Prod_1.vmdk","2.00799846649169921875"
"[esxvol2] CM_RM_64_Prod/CM_RM_64_Prod_2.vmdk","10.00544452667236328125"
"[esxvol2] CM_RM_64_Prod/CM_RM_64_Prod_3.vmdk","4"
"[esxvol2] CM_RM_64_Prod/CM_RM_64_Prod_4.vmdk","6"
"[esxvol2] CM_RM_64_Prod/CM_RM_64_Prod_5.vmdk","20"
"[esxvol2] CM_RM_64_Prod/CM_RM_64_Prod_6.vmdk","250"
"[esxvol2] CM_RM_64_Prod/CM_RM_64_Prod_7.vmdk","250"
"[esxvol2] CM_RM_64_Prod/CM_RM_64_Prod_8.vmdk","50"
"[esxvol2] CM_RM_64_Prod/CM_RM_64_Prod_9.vmdk","50"
"[esxvol2] CM_RM_64_Prod/CM_RM_64_Prod_10.vmdk","50"
"[esxvol2] CM_RM_64_Prod/CM_RM_64_Prod_16.vmdk","50"
"[esxvol2] CM_RM_64_Prod/CM_RM_64_Prod_18.vmdk","500"
"[esxvol2] CM_RM_64_Prod/CM_RM_64_Prod_15.vmdk","275"
"[esxvol2] CM_RM_64_Prod/CM_RM_64_Prod_17.vmdk","100"
"[esxvol2] AWS-Storage-Gateway-09-Jul-2014/AWS-Storage-Gateway-09-Jul-2014.vmdk","70"
"[esxvol2] AWS-Storage-Gateway-09-Jul-2014/AWS-Storage-Gateway-09-Jul-2014_1.vmdk","8"
"[esxvol2] AWS-Storage-Gateway-09-Jul-2014/AWS-Storage-Gateway-09-Jul-2014_2.vmdk","250"
"[esxvol2] AWS-Storage-Gateway-09-Jul-2014/AWS-Storage-Gateway-09-Jul-2014_3.vmdk","1024"
"[esxvol2] Windows 2012/Windows 2012.vmdk","40"
"[esxvol2] USNYC0VAS02/USNYC0VAS02.vmdk","24"
"[esxvol2] USNYC0VAS01 - old fam/USNYC0VAS01 - old fam.vmdk","20"
"[esxvol2] usnyc0pas41/usnyc0pas41_2.vmdk","0.015625"
"[esxvol2] usnyc0pas41/usnyc0pas41_1.vmdk","40"
"[esxvol2] ESSBASE/ESSBASE.vmdk","60"
"[esxvol2] ESSBASE/ESSBASE_1.vmdk","200"
"[esxvol2] AWS Connector 2.2.0/AWS Connector 2.2.0.vmdk","250"
"[esxvol2] USNYC0VAS08/USNYC0VAS08.vmdk","32"
"[esxvol2] IT Application Server/IT Application Server.vmdk","16"
"[esxvol2] GROUPE DC/GROUPE DC.vmdk","20"
"[esxvol2] GROUPE DC/GROUPE DC_1.vmdk","8"
"[esxvol2] usnyc0pdb01/usnyc0pdb01.vmdk","16"
"[esxvol2] usnyc0pdb01/usnyc0pdb01_1.vmdk","4"
"[esxvol2] usnyc0pdb01/usnyc0pdb01_2.vmdk","8"
"[esxvol2] usnyc0pdb01/usnyc0pdb01_3.vmdk","8"
"[esxvol2] usnyc0pdb01/usnyc0pdb01_4.vmdk","20"
"[esxvol2] usnyc0pdb01/usnyc0pdb01_5.vmdk","20"
"[esxvol2] usnyc0pdb01/usnyc0pdb01_6.vmdk","20"
"[esxvol2] USNYC0VAS05/USNYC0VAS05.vmdk","40"
"[esxvol2] AWS-Storage-Gateway-30-Jan-2014/AWS-Storage-Gateway-30-Jan-2014.vmdk","70"
"[esxvol2] AWS-Storage-Gateway-30-Jan-2014/AWS-Storage-Gateway-30-Jan-2014_1.vmdk","150"
"[esxvol2] AWS-Storage-Gateway-30-Jan-2014/AWS-Storage-Gateway-30-Jan-2014_2.vmdk","150"
"[esxvol2] USNYC0VAS07/USNYC0VAS07.vmdk","50"
"[esxvol2] Symantec Security Console/Symantec Security Console_1.vmdk","15"
"[esxvol2] Symantec Security Console/Symantec Security Console_2.vmdk","8"
"[esxvol2] Symantec Security Console/Symantec Security Console_3.vmdk","8"
"[esxvol2] Symantec Security Console/Symantec Security Console_4.vmdk","8"
"[esxvol2] Symantec Security Console/Symantec Security Console.vmdk","8"
"[esxvol2] Symantec Security Console/Symantec Security Console_5.vmdk","24"
"[esxvol2] Xen Desktop Guest Master Image/Xen Desktop Guest Master Image.vmdk","32"
"[esxvol2] usnyc0nf02/usnyc0nf02.vmdk","60"
"[esxvol2] XEN Temp Dekstop Image/XEN Temp Dekstop Image.vmdk","32"
"[esxvol2] Amazon-EC2-VM-Import-Connector-1.2.0/Amazon-EC2-VM-Import-Connector-1.2.0.vmdk","250"
"[esxvol2] TSM/TSM.vmdk","50"
"[esxvol2] old_XenDesktop_Controller/old_XenDesktop_Controller_1.vmdk","20"
"[esxvol2] SCCM 2012 Test Windows 7 Client/SCCM 2012 Test Windows 7 Client.vmdk","32"
"[esxvol2] OEL532/OEL532.vmdk","32"
"[esxvol2] W7 x64 XenDesktop/W7 x64 XenDesktop.vmdk","32"
"[esxvol1] usnyc0pfs10/usnyc0pfs10.vmdk","45"
"[esxvol2] usnyc0pfs10/usnyc0pfs10_2.vmdk","7168"
"[esxvol2] XenDesktop Provisioning Server/XenDesktop Provisioning Server_1.vmdk","20"
"[esxvol2] XenDesktop Provisioning Server/XenDesktop Provisioning Server-000001.vmdk","60"
"[esxvol2] XenDesktop Provisioning Server/XenDesktop Provisioning Server-000002.vmdk","60"
"[esxvol1] Unitrends Enterprise Backup_VMS/Unitrends Enterprise Backup_VMS.vmdk","100"
"[PHDvol1] Unitrends Enterprise Backup_VMS/Unitrends Enterprise Backup_VMS.vmdk","2048"
"[PHDvol1] Unitrends Enterprise Backup_VMS/Unitrends Enterprise Backup_VMS_1.vmdk","2048"
"[PHDvol1] Unitrends Enterprise Backup_VMS/Unitrends Enterprise Backup_VMS_2.vmdk","2048"
"[PHDvol1] Unitrends Enterprise Backup_VMS/Unitrends Enterprise Backup_VMS_3.vmdk","2048"
"[mailvol1] IAS 2008/IAS 2008.vmdk","40"
"[mailvol1] macduff-admin.groupe.remy.cointreau/macduff-admin.groupe.remy.cointreau.vmdk","70.2490234375"
"[mailvol1] usnyc0pmx01/usnyc0pmx01_5.vmdk","1"
"[mailvol1] usnyc0pmx01/usnyc0pmx01_2.vmdk","50"
"[mailvol1] usnyc0pmx01/usnyc0pmx01_3.vmdk","30"
"[mailvol1] usnyc0pmx01/usnyc0pmx01.vmdk","50"
"[mailvol1] usnyc0pmx01/usnyc0pmx01_6.vmdk","1"
"[mailvol1] usnyc0pmx01/usnyc0pmx01_1.vmdk","170"
"[mailvol1] usnyc0pmx01/usnyc0pmx01_4.vmdk","100"
"[esxvol1] usnyc0vat01/usnyc0vat01_IdentityDisk.vmdk","0.015625"
"[esxvol1] usnyc0vat01/usnyc0vat01-3a7b62aa-cc61-41fb-a8fb-419a8011c59b-xd-delta.vmdk","60"
"[esxvol1] usnyc0pas42/usnyc0pas42_IdentityDisk.vmdk","50"
"[esxvol1] usnyc0pas42/usnyc0pas42-7c8d0630-ca2e-4348-a783-4df42452664f-xd-delta.vmdk","40"
"[esxvol1] Content Collector/Content Collector.vmdk","40"
"[esxvol1] Content Collector/Content Collector_1.vmdk","50"
"[esxvol1] Content Collector/Content Collector_2.vmdk","10"
"[esxvol1] usnyc0vas21/usnyc0vas21_IdentityDisk.vmdk","0.0234375"
"[esxvol1] usnyc0vas21/usnyc0vas21_pvdisk.vmdk","60"
"[esxvol1] Executive vDesktops-baseDisk/24 Sep 2014 17-37-34.8703Z.vmdk","60"
"[esxvol1] eRemyUSA/eRemyUSA-000002.vmdk","12"
"[esxvol1] eRemyUSA/eRemyUSA_1-000002.vmdk","20"
"[esxvol1] eRemyUSA/eRemyUSA_2-000002.vmdk","16"
"[esxvol1] eRemyUSA/eRemyUSA_3.vmdk","16"
"[esxvol1] usnyc0vas22/usnyc0vas22_IdentityDisk.vmdk","0.0390625"
"[esxvol1] usnyc0vas22/usnyc0vas22_pvdisk.vmdk","60"
"[esxvol1] Executive vDesktops-baseDisk/24 Sep 2014 17-37-34.8703Z.vmdk","60"
"[esxvol1] usnyc0vas25/usnyc0vas25_IdentityDisk.vmdk","0.015625"
"[esxvol1] usnyc0vas25/usnyc0vas25_pvdisk.vmdk","30"
"[esxvol1] Executive vDesktops-baseDisk/24 Sep 2014 17-37-34.8703Z.vmdk","60"
"[esxvol1] usnyc0vat02/usnyc0vat02_IdentityDisk.vmdk","0.015625"
"[esxvol1] usnyc0vat02/usnyc0vat02-f8921cb9-5eca-4ddf-8717-0d0d4f3300a0-xd-delta.vmdk","60"
"[esxvol1] WSUS 2008/WSUS 2008.vmdk","40"
"[esxvol1] WSUS 2008/WSUS 2008_1.vmdk","500"
"[esxvol1] Alaloop x86/Alaloop x86.vmdk","30"
"[esxvol1] usnyc0pas30/usnyc0pas30.vmdk","50"
"[esxvol1] BOBJ/BOBJ.vmdk","101"
"[esxvol1] REMYFS01/REMYFS01.vmdk","40"
"[esxvol1] REMYFS01/REMYFS01_1.vmdk","1024"
"[esxvol1] REMYFS01/REMYFS01_2.vmdk","1024"
"[esxvol1] REMYFS01/REMYFS01_3.vmdk","1024"
"[esxvol1] REMYFS01/REMYFS01_4.vmdk","768"
"[esxvol1] usnyc0pdc03/usnyc0pdc03.vmdk","80"
"[esxvol1] USNYC0VAS11/USNYC0VAS11.vmdk","32"
"[esxvol1] SSCM/SSCM.vmdk","40"
"[esxvol1] SSCM/SSCM_1.vmdk","50"
"[esxvol1] NSVPX/NSVPX.vmdk","20"
"[esxvol1] usnyc0pas20/usnyc0pas20.vmdk","40"
"[esxvol1] unitrends-cloud/unitrends-cloud.vmdk","83"
"[esxvol1] unitrends-cloud/Unitrends_Backup_VMDK.vmdk","128"
"[esxvol1] usnyc0pas22_recovered/usnyc0pas22.vmdk","45"
"[esxvol1] usnyc0pas21/usnyc0pas21.vmdk","40"
"[esxvol1] usnyc0pas28/usnyc0pas28.vmdk","80"
"[esxvol1] usnyc0pas28/usnyc0pas28_1.vmdk","180"
"[esxvol1] usnyc0pas28/usnyc0pas28_2.vmdk","400"
"[esxvol1] CM_LS_64_Prod/CM_LS_64_Prod.vmdk","0.1000003814697265625"
"[esxvol1] CM_LS_64_Prod/CM_LS_64_Prod_1.vmdk","2"
"[esxvol1] CM_LS_64_Prod/CM_LS_64_Prod_2.vmdk","9"
"[esxvol1] CM_LS_64_Prod/CM_LS_64_Prod_3.vmdk","4"
"[esxvol1] CM_LS_64_Prod/CM_LS_64_Prod_4.vmdk","20"
"[esxvol1] CM_LS_64_Prod/CM_LS_64_Prod_5.vmdk","100"
"[esxvol1] CM_LS_64_Prod/CM_LS_64_Prod_6.vmdk","8"
"[esxvol1] CM_LS_64_Prod/CM_LS_64_Prod_7.vmdk","8"
"[esxvol1] usnyc0pas23_recovered/usnyc0pas23.vmdk","40"
